2018-03-18 07:23:04.126986 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances//hyper9_a256_s813.cpf', '-o', '../solutions_04/hyper9_a256_s813_UNSAT-SAT.out', '-s', '../stat_files_04/hyper9_a256_s813_UNSAT-SAT.txt', '-e', 'simplified', '-search', 'UNSAT-SAT', '-v', '0', '-t', '900']
2018-03-18 07:23:04.136456 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances//grid_32x32_a384_s251.cpf', '-o', '../solutions_04/grid_32x32_a384_s251_UNSAT-SAT.out', '-s', '../stat_files_04/grid_32x32_a384_s251_UNSAT-SAT.txt', '-e', 'simplified', '-search', 'UNSAT-SAT', '-v', '0', '-t', '900']
2018-03-18 07:23:04.142844 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances//hyper6_a024_s491.cpf', '-o', '../solutions_04/hyper6_a024_s491_UNSAT-SAT.out', '-s', '../stat_files_04/hyper6_a024_s491_UNSAT-SAT.txt', '-e', 'simplified', '-search', 'UNSAT-SAT', '-v', '0', '-t', '900']
2018-03-18 07:23:04.143945 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances//grid_04x04_a010_s348.cpf', '-o', '../solutions_04/grid_04x04_a010_s348_UNSAT-SAT.out', '-s', '../stat_files_04/grid_04x04_a010_s348_UNSAT-SAT.txt', '-e', 'simplified', '-search', 'UNSAT-SAT', '-v', '0', '-t', '900']
2018-03-18 07:23:04.152929 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances//grid_32x32_a051_s656.cpf', '-o', '../solutions_04/grid_32x32_a051_s656_UNSAT-SAT.out', '-s', '../stat_files_04/grid_32x32_a051_s656_UNSAT-SAT.txt', '-e', 'simplified', '-search', 'UNSAT-SAT', '-v', '0', '-t', '900']
2018-03-18 07:23:04.156445 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances//hyper6_a040_s338.cpf', '-o', '../solutions_04/hyper6_a040_s338_UNSAT-SAT.out', '-s', '../stat_files_04/hyper6_a040_s338_UNSAT-SAT.txt', '-e', 'simplified', '-search', 'UNSAT-SAT', '-v', '0', '-t', '900']
2018-03-18 07:23:04.166052 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances//grid_32x32_a051_s868.cpf', '-o', '../solutions_04/grid_32x32_a051_s868_UNSAT-SAT.out', '-s', '../stat_files_04/grid_32x32_a051_s868_UNSAT-SAT.txt', '-e', 'simplified', '-search', 'UNSAT-SAT', '-v', '0', '-t', '900']
2018-03-18 07:23:04.170592 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances//grid_08x08_a024_s695.cpf', '-o', '../solutions_04/grid_08x08_a024_s695_UNSAT-SAT.out', '-s', '../stat_files_04/grid_08x08_a024_s695_UNSAT-SAT.txt', '-e', 'simplified', '-search', 'UNSAT-SAT', '-v', '0', '-t', '900']
2018-03-18 07:23:04.171080 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances//grid_04x04_a006_s142.cpf', '-o', '../solutions_04/grid_04x04_a006_s142_UNSAT-SAT.out', '-s', '../stat_files_04/grid_04x04_a006_s142_UNSAT-SAT.txt', '-e', 'simplified', '-search', 'UNSAT-SAT', '-v', '0', '-t', '900']
2018-03-18 07:23:04.178761 : ['../CPFSolver/bin/CPFSolver', '-i', '../instances//grid_08x08_a048_s155.cpf', '-o', '../solutions_04/grid_08x08_a048_s155_UNSAT-SAT.out', '-s', '../stat_files_04/grid_08x08_a048_s155_UNSAT-SAT.txt', '-e', 'simplified', '-search', 'UNSAT-SAT', '-v', '0', '-t', '900']
